Week,Market,Site,RRC_SR_pct,ERAB_SR_pct,DCR_pct,DL_Throughput_Mbps,Congestion_pct,CQx_Score,CQx_Status,Weeks_Below_75,Priority_Rank
2026-08-03,Fairbanks,FAI-003,97.9,98.46,3.25,30.89,74.54,73.6,Yellow,5,1
2026-08-03,Anchorage,ANC-007,97.07,96.37,2.93,32.58,65.22,74.65,Yellow,1,2
2026-08-03,Seward,SEW-003,99.42,98.14,2.27,26.66,49.25,76.99,Green,2,3
2026-08-03,Anchorage,ANC-004,97.27,99.19,1.25,31.42,47.73,78.05,Green,7,4
2026-08-03,Mat-Su,MAT-004,99.45,97.24,1.86,45.64,64.8,78.3,Green,0,5
2026-08-03,Seward,SEW-010,98.2,97.13,2.84,72.18,88.3,79.6,Green,1,6
2026-08-03,Napakiak,NAP-003,98.45,97.45,2.81,27.5,29.27,79.66,Green,0,7
2026-08-03,Fairbanks,FAI-001,97.85,98.6,2.54,44.79,49.87,80.21,Green,0,8
2026-08-03,Mat-Su,MAT-001,99.14,97.2,2.3,43.18,47.39,80.27,Green,1,9
2026-08-03,Anchorage,ANC-009,97.24,94.58,4.66,30.2,18.75,80.48,Green,0,10
2026-08-03,Fairbanks,FAI-006,99.78,98.54,2.0,17.58,14.24,80.66,Green,0,11
2026-08-03,Kongiganak,KON-005,99.88,97.0,5.36,23.61,13.05,81.18,Green,1,12
2026-08-03,Mat-Su,MAT-002,98.49,98.11,2.88,33.71,27.72,81.3,Green,0,13
2026-08-03,Napakiak,NAP-010,97.94,97.4,1.42,35.4,29.02,81.35,Green,0,14
2026-08-03,Napakiak,NAP-008,98.91,98.36,1.99,73.72,81.25,81.58,Green,0,15
2026-08-03,Seward,SEW-007,98.61,97.73,1.3,48.91,46.85,81.64,Green,0,16
2026-08-03,Fairbanks,FAI-009,99.05,97.46,1.05,47.36,39.24,82.56,Green,0,17
2026-08-03,Anchorage,ANC-001,98.75,94.74,2.99,67.0,57.22,82.74,Green,0,18
2026-08-03,Kongiganak,KON-003,98.76,98.61,2.54,34.82,19.57,82.99,Green,0,19
2026-08-03,Fairbanks,FAI-002,99.56,99.51,0.27,58.26,54.11,83.26,Green,0,20
2026-08-03,Kongiganak,KON-002,96.16,98.62,6.17,71.66,56.06,83.69,Green,0,21
2026-08-03,Napakiak,NAP-005,99.2,97.07,0.1,29.49,5.8,84.08,Green,0,22
2026-08-03,Seward,SEW-002,97.96,94.63,1.59,62.16,40.13,84.32,Green,0,23
2026-08-03,Napakiak,NAP-002,96.94,98.55,2.8,56.25,33.76,84.64,Green,0,24
2026-08-03,Anchorage,ANC-005,99.2,96.84,2.05,30.23,0.0,84.75,Green,0,25
2026-08-03,Napakiak,NAP-004,98.17,96.6,2.59,43.76,15.13,84.79,Green,0,26
2026-08-03,Fairbanks,FAI-008,97.68,99.11,1.03,35.28,8.23,84.86,Green,0,27
2026-08-03,Mat-Su,MAT-008,98.73,97.76,0.82,54.42,24.42,86.22,Green,0,28
2026-08-03,Mat-Su,MAT-003,96.42,96.97,5.48,51.01,9.41,86.32,Green,0,29
2026-08-03,Mat-Su,MAT-007,97.86,98.82,0.41,61.48,33.42,86.39,Green,0,30
2026-08-03,Anchorage,ANC-008,99.54,100.0,2.04,39.91,4.62,86.87,Green,0,31
2026-08-03,Napakiak,NAP-001,99.26,99.18,0.6,51.27,18.73,86.97,Green,0,32
2026-08-03,Fairbanks,FAI-007,99.21,99.27,3.39,53.65,17.03,87.29,Green,0,33
2026-08-03,Fairbanks,FAI-004,97.81,97.91,2.73,85.84,55.29,87.4,Green,0,34
2026-08-03,Anchorage,ANC-003,96.5,97.27,2.48,67.06,26.82,87.46,Green,0,35
2026-08-03,Mat-Su,MAT-006,94.93,99.16,1.94,73.3,34.95,87.65,Green,0,36
2026-08-03,Seward,SEW-009,98.22,94.94,2.23,80.44,40.4,87.98,Green,0,37
2026-08-03,Seward,SEW-008,96.96,97.48,2.32,107.55,66.12,88.34,Green,0,38
2026-08-03,Anchorage,ANC-006,98.53,99.65,2.45,64.85,23.69,88.59,Green,0,39
2026-08-03,Seward,SEW-004,94.79,94.53,1.01,71.83,17.47,88.92,Green,0,40
2026-08-03,Napakiak,NAP-007,97.24,97.17,2.56,76.01,21.5,90.2,Green,0,41
2026-08-03,Napakiak,NAP-009,98.31,96.75,2.44,104.05,52.39,90.54,Green,0,42
2026-08-03,Seward,SEW-006,98.66,98.69,1.23,75.97,24.56,90.66,Green,0,43
2026-08-03,Kongiganak,KON-001,99.18,98.88,3.02,87.66,34.45,91.43,Green,0,44
2026-08-03,Fairbanks,FAI-010,99.06,99.5,0.79,79.69,24.93,91.72,Green,0,45
2026-08-03,Anchorage,ANC-002,97.36,96.23,1.1,93.82,34.84,91.77,Green,0,46
2026-08-03,Mat-Su,MAT-005,98.43,98.44,0.64,81.38,18.75,92.59,Green,0,47
2026-08-03,Seward,SEW-001,99.02,96.14,1.33,97.59,30.0,93.61,Green,0,48
2026-08-03,Kongiganak,KON-004,97.66,97.6,1.41,100.11,29.28,94.21,Green,0,49
2026-08-03,Kongiganak,KON-006,98.74,96.67,1.71,102.72,25.21,94.81,Green,0,50
2026-08-03,Fairbanks,FAI-005,99.03,97.76,0.44,79.84,0.0,95.1,Green,0,51
2026-08-03,Napakiak,NAP-006,99.91,97.83,0.84,93.77,16.22,95.63,Green,0,52
2026-08-03,Seward,SEW-005,99.15,96.47,0.67,103.58,20.72,95.7,Green,0,53
2026-08-03,Kongiganak,KON-007,99.36,98.53,0.65,97.17,8.03,97.6,Green,0,54
