Week,Market,Site,RRC_SR_pct,ERAB_SR_pct,DCR_pct,DL_Throughput_Mbps,Congestion_pct,CQx_Score,CQx_Status
2026-05-04,Anchorage,ANC-001,96.05,94.14,4.88,42.5,42.45,78.95,Green
2026-05-11,Anchorage,ANC-001,98.07,95.53,2.41,71.29,62.59,82.91,Green
2026-05-18,Anchorage,ANC-001,97.67,93.68,2.73,26.18,49.23,75.28,Green
2026-05-25,Anchorage,ANC-001,96.78,94.81,2.5,65.32,71.48,79.86,Green
2026-06-01,Anchorage,ANC-001,94.99,96.95,5.12,50.56,56.64,78.83,Green
2026-06-08,Anchorage,ANC-001,95.78,95.69,2.77,78.99,59.79,84.28,Green
2026-06-15,Anchorage,ANC-001,95.73,94.13,2.68,39.93,61.97,75.76,Green
2026-06-22,Anchorage,ANC-001,95.26,96.9,3.16,87.07,66.09,85.07,Green
2026-06-29,Anchorage,ANC-001,97.72,96.02,4.31,55.78,46.19,82.01,Green
2026-07-06,Anchorage,ANC-001,98.0,96.79,5.1,42.28,39.54,80.46,Green
2026-07-13,Anchorage,ANC-001,95.81,96.81,2.98,38.69,58.71,76.64,Green
2026-07-20,Anchorage,ANC-001,96.19,95.33,3.05,63.69,76.85,78.63,Green
2026-07-27,Anchorage,ANC-001,96.39,92.83,2.48,80.54,75.26,81.75,Green
2026-08-03,Anchorage,ANC-001,98.75,94.74,2.99,67.0,57.22,82.74,Green
2026-05-04,Anchorage,ANC-002,99.55,93.6,0.24,72.35,8.7,91.42,Green
2026-05-11,Anchorage,ANC-002,97.49,96.13,3.88,91.07,9.61,94.59,Green
2026-05-18,Anchorage,ANC-002,98.4,95.44,0.1,85.26,37.08,89.93,Green
2026-05-25,Anchorage,ANC-002,96.21,96.15,1.4,87.08,6.04,94.39,Green
2026-06-01,Anchorage,ANC-002,98.98,93.61,0.73,85.88,0.0,95.21,Green
2026-06-08,Anchorage,ANC-002,98.57,96.76,2.31,89.03,33.03,91.34,Green
2026-06-15,Anchorage,ANC-002,97.02,94.28,3.86,68.86,45.24,84.23,Green
2026-06-22,Anchorage,ANC-002,97.84,97.6,1.4,51.64,32.62,84.08,Green
2026-06-29,Anchorage,ANC-002,97.31,94.63,4.86,91.53,42.24,89.23,Green
2026-07-06,Anchorage,ANC-002,96.74,95.43,0.92,51.08,4.46,87.45,Green
2026-07-13,Anchorage,ANC-002,96.49,93.02,3.06,60.45,34.08,83.9,Green
2026-07-20,Anchorage,ANC-002,97.04,96.46,0.84,65.67,0.32,91.33,Green
2026-07-27,Anchorage,ANC-002,98.68,96.37,0.74,71.61,11.28,91.28,Green
2026-08-03,Anchorage,ANC-002,97.36,96.23,1.1,93.82,34.84,91.77,Green
2026-05-04,Anchorage,ANC-003,98.78,98.92,2.78,117.86,34.52,93.83,Green
2026-05-11,Anchorage,ANC-003,96.91,95.35,2.21,104.42,40.52,91.65,Green
2026-05-18,Anchorage,ANC-003,98.51,99.07,1.68,97.3,53.58,90.57,Green
2026-05-25,Anchorage,ANC-003,99.14,96.89,3.5,103.7,21.73,95.22,Green
2026-06-01,Anchorage,ANC-003,95.89,95.27,3.93,101.22,46.56,90.22,Green
2026-06-08,Anchorage,ANC-003,96.55,97.53,1.25,100.23,54.92,90.09,Green
2026-06-15,Anchorage,ANC-003,97.92,94.82,0.3,104.02,67.94,87.95,Green
2026-06-22,Anchorage,ANC-003,99.18,99.51,3.74,103.85,27.66,94.96,Green
2026-06-29,Anchorage,ANC-003,96.69,98.57,1.17,101.5,24.75,94.93,Green
2026-07-06,Anchorage,ANC-003,95.97,98.36,1.41,94.5,25.92,93.38,Green
2026-07-13,Anchorage,ANC-003,98.7,99.68,3.03,73.57,57.99,85.16,Green
2026-07-20,Anchorage,ANC-003,97.27,94.49,4.36,97.23,39.03,90.88,Green
2026-07-27,Anchorage,ANC-003,96.74,99.34,0.23,88.51,52.48,88.81,Green
2026-08-03,Anchorage,ANC-003,96.5,97.27,2.48,67.06,26.82,87.46,Green
